Project,CDD,BL FD,New FinishDate,ClientName,Des.Qty,Des.Val (Lakhs),Pr.%WC,Task%WC,Pr.Qty,Pr.Val (Lakhs),Project Budget (Hrs),CompletionStatus,PM
4106,01-09-2018 08:00,0,27-09-2018 17:00,Thermax,1,₹ 5.00,11,0,1,₹ 5.00,0,8-Project Completed,Viswanathan
4161,03-01-2018 08:00,09-10-2017 12:00,06-03-2018 12:30,BPCL,3,₹ 39.16,100,100,3,₹ 41.20,2622,8-Project Completed,Anand
4166,31-03-2018 08:00,0,13-04-2017 16:30,Programme AD,30,₹ 267.00,100,100,50,₹ 445.00,11925,8-Project Completed,Varun
4166,31-03-2018 08:00,0,12-12-2017 09:58,Programme AD,20,₹ 178.00,100,100,50,₹ 445.00,11925,8-Project Completed,Varun
4167,07-10-2017 08:00,17-10-2017 17:00,22-12-2017 17:00,BORL,1,₹ 67.21,100,100,1,₹ 67.20,2772,8-Project Completed,Anand
4169,20-12-2017 08:00,29-09-2017 14:42,29-09-2017 14:43,Essar,1,₹ 15.29,100,100,2,₹ 214.00,8777,8-Project Completed,Varun
4169,20-12-2017 08:00,27-10-2017 13:09,16-03-2018 14:00,Essar,1,₹ 198.71,100,100,2,₹ 214.00,8777,8-Project Completed,Varun
4170,01-01-2018 06:00,30-01-2018 20:30,30-01-2018 20:30,IOCL-EIL,2,₹ 124.06,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,16-02-2018 20:30,16-02-2018 20:30,IOCL-EIL,2,₹ 95.64,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,16-02-2018 21:30,16-02-2018 21:30,IOCL-EIL,2,₹ 39.52,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,23-02-2018 21:30,23-02-2018 21:30,IOCL-EIL,1,₹ 44.01,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,28-02-2018 21:30,28-02-2018 21:30,IOCL-EIL,2,₹ 95.64,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,06-03-2018 21:30,06-03-2018 21:30,IOCL-EIL,4,₹ 143.42,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,13-03-2018 20:30,13-03-2018 20:30,IOCL-EIL,1,₹ 32.63,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,14-03-2018 20:30,14-03-2018 20:30,IOCL-EIL,1,₹ 32.72,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,16-03-2018 21:30,16-03-2018 21:30,IOCL-EIL,2,₹ 63.55,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,24-03-2018 20:30,24-03-2018 20:30,IOCL-EIL,1,₹ 13.40,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,24-03-2018 21:30,24-03-2018 21:30,IOCL-EIL,1,₹ 13.40,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,26-03-2018 21:30,26-03-2018 21:30,IOCL-EIL,1,₹ 80.05,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,28-03-2018 20:30,28-03-2018 20:30,IOCL-EIL,1,₹ 118.32,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4174,14-12-2017 08:00,30-12-2017 17:10,05-02-2018 17:00,IOCL,1,₹ 57.79,100,100,1,₹ 59.40,4688,8-Project Completed,Elamaran
4180,29-12-2017 08:00,22-01-2018 21:30,22-01-2018 21:30,NIOT,1,₹ 43.08,100,100,2,₹ 86.20,1696,8-Project Completed,Varun
4180,29-12-2017 08:00,23-01-2018 12:30,23-01-2018 12:30,NIOT,1,₹ 43.08,100,100,2,₹ 86.20,1696,8-Project Completed,Varun
4182,10-01-2018 08:00,05-09-2017 12:21,05-02-2018 17:00,UPL,6,₹ 144.00,100,100,6,₹ 144.00,4812,8-Project Completed,Ethiraj
4183,04-01-2018 08:00,27-02-2018 20:22,31-03-2018 10:00,IOCL,1,₹ 113.14,100,100,1,₹ 115.40,11102,8-Project Completed,Ethiraj
4197,06-01-2018 08:00,05-01-2018 09:50,03-02-2018 08:35,ASL,8,₹ 92.10,100,100,8,₹ 92.10,13200,8-Project Completed,Anand
4211,17-07-2018 08:00,30-04-2018 07:49,30-04-2018 14:47,Advanced System Laboratory,25,₹ 142.50,100,100,25,₹ 142.50,4450,8-Project Completed,Varun
4213,27-02-2018 08:00,30-01-2018 16:00,03-03-2018 09:00,SRF,1,₹ 28.75,100,100,1,₹ 28.80,1220,8-Project Completed,Elamaran
4215,30-11-2017 08:00,19-01-2018 15:30,17-02-2018 18:00,SRF,1,₹ 10.50,100,100,1,₹ 10.50,336,8-Project Completed,Varun
4216,31-07-2018 08:30,16-06-2018 17:30,15-02-2019 17:30,BEML,5,₹ 0.80,20,0,75,₹ 12.00,1800,9-On Hold,Varun
4218,11-08-2018 08:00,20-07-2018 21:54,30-08-2018 14:00,CPCL,1,₹ 79.07,100,100,1,₹ 80.30,7383,8-Project Completed,Varun
4227,10-08-2018 08:30,17-03-2018 14:30,17-03-2018 14:30,BDL,20,₹ 3.20,100,100,100,₹ 16.00,3000,8-Project Completed,Varun
4227,10-08-2018 08:30,19-05-2018 11:30,11-05-2018 09:30,BDL,20,₹ 3.20,100,100,100,₹ 16.00,3000,8-Project Completed,Varun
4227,10-08-2018 08:30,19-05-2018 11:30,06-06-2018 12:30,BDL,20,₹ 3.20,100,100,100,₹ 16.00,3000,8-Project Completed,Varun
4227,10-08-2018 08:30,0,20-07-2018 12:30,BDL,20,₹ 3.20,100,100,100,₹ 16.00,3000,8-Project Completed,Varun
4230,30-06-2018 08:00,31-03-2018 18:30,31-03-2018 18:30,ASL,7,₹ 36.40,100,100,10,₹ 52.00,1600,8-Project Completed,Varun
4230,30-06-2018 08:00,26-04-2018 18:00,30-04-2018 20:21,ASL,3,₹ 15.60,100,100,10,₹ 52.00,1600,8-Project Completed,Varun
4232,07-07-2018 08:00,16-06-2018 10:30,05-07-2018 17:00,IOCL-TECHNIP,1,₹ 52.48,100,100,1,₹ 52.50,4245,8-Project Completed,Elamaran
4233,22-01-2018 08:00,30-12-2017 17:30,23-01-2018 17:30,KMML,22,₹ 0.81,100,100,22,₹ 1.00,12,8-Project Completed,Varun
4239,03-02-2018 08:30,16-03-2018 12:30,17-03-2018 12:30,IGCAR,1,₹ 9.47,100,100,1,₹ 9.50,260,8-Project Completed,0
4240,20-07-2018 08:30,22-05-2018 19:30,26-03-2019 19:30,RCI,2,₹ 19.40,18,0,2,₹ 19.40,840,9-On Hold,Varun
4241,21-08-2018 08:00,10-08-2018 09:30,11-01-2019 21:30,IOCL-EIL,1,₹ 5.00,63,0,1,₹ 5.00,2059,B-Production in Progress,Elamaran
4242,10-03-2018 08:00,13-03-2018 17:00,13-03-2018 17:00,KMML,1,₹ 2.52,100,100,1,₹ 2.50,50,8-Project Completed,PMO
4243,10-03-2018 08:00,05-03-2018 17:30,05-03-2018 17:30,Apid Engineer,1,₹ 0.30,100,100,1,₹ 0.30,6,8-Project Completed,PMO
4245,31-03-2018 08:30,17-03-2018 09:30,27-08-2018 17:30,Grasim,1,₹ 1.73,100,100,1,₹ 1.70,280,8-Project Completed,Viswanathan
4246,15-11-2018 08:00,13-11-2018 16:41,31-12-2018 17:00,SRF,1,₹ 96.00,99,0,1,₹ 96.00,2955,6-QC Completed,Ethiraj
4247,30-06-2018 08:00,0,29-12-2018 19:29,SSIS,2,₹ 20.93,99,0,2,₹ 20.90,2043,5-Production Completed,Varun
4248,18-06-2018 08:30,19-04-2018 16:30,27-06-2018 15:30,KMML,3,₹ 1.32,100,100,3,₹ 1.30,70,8-Project Completed,Ethiraj
4249,05-07-2018 08:30,02-07-2018 14:30,24-07-2018 11:00,SVCI,2,₹ 21.76,100,100,6,₹ 66.50,9780,8-Project Completed,Ethiraj
4249,05-07-2018 08:30,22-06-2018 20:30,24-07-2018 13:00,SVCI,2,₹ 21.76,100,100,6,₹ 66.50,9780,8-Project Completed,Ethiraj
4249,05-07-2018 08:30,27-06-2018 12:30,27-07-2018 12:30,SVCI,2,₹ 22.26,100,100,6,₹ 66.50,9780,8-Project Completed,Ethiraj
4250,31-03-2018 08:30,04-05-2018 08:31,21-08-2018 17:30,Grasim,3,₹ 3.06,100,100,3,₹ 3.10,312,8-Project Completed,Viswanathan
4251,05-08-2018 08:30,0,28-11-2018 16:30,NPOL,1,₹ 37.34,100,100,1,₹ 37.30,1330,8-Project Completed,Varun
4252,31-12-2018 08:30,0,02-01-2019 19:30,NPOL,1,₹ 76.00,83,0,1,₹ 76.00,3130,B-Production in Progress,Varun
4253,14-06-2018 08:30,13-06-2018 09:30,26-06-2018 09:30,KMML,4,₹ 3.99,100,100,4,₹ 4.00,400,8-Project Completed,Elamaran
4254,21-10-2018 08:30,01-10-2018 14:30,23-10-2018 18:30,IOCL,1,₹ 31.70,100,100,1,₹ 33.00,2957,8-Project Completed,Varun
4257,10-09-2018 08:00,21-08-2018 09:30,10-11-2018 17:00,Keltron,1,₹ 43.00,100,100,1,₹ 43.00,2370,8-Project Completed,Elamaran
4258,13-10-2018 08:00,03-10-2018 21:00,29-09-2018 19:30,RRCAT,5,₹ 13.50,100,100,5,₹ 13.50,530,8-Project Completed,Elamaran
4259,04-10-2018 08:00,17-09-2018 12:30,29-09-2018 16:00,Orient Paper Mills,1,₹ 20.30,100,100,1,₹ 20.30,2720,8-Project Completed,Ethiraj
4260,04-10-2018 08:00,04-10-2018 16:30,03-01-2019 08:00,CCM CHEMICALS SDN BHD,2,₹ 43.47,99,0,2,₹ 43.50,4780,6-QC Completed,Ethiraj
4261,15-05-2018 08:00,05-03-2018 17:30,04-05-2018 15:30,DCW Limited,1,₹ 9.00,41,0,1,₹ 9.00,400,8-Project Completed,Viswanathan
4262,15-09-2018 08:00,05-03-2018 17:30,01-09-2018 17:00,"Tata Chemicals Ltd, Mithapur",4,₹ 0.79,100,100,4,₹ 0.80,100,8-Project Completed,Ethiraj
4263,17-10-2018 08:00,15-10-2018 07:30,27-09-2018 08:00,Kutch Chemical Industries Limited,6,₹ 92.40,95,100,12,₹ 189.80,4320,7-Despatched,Ethiraj
4263,17-10-2018 08:00,0,26-10-2018 16:00,Kutch Chemical Industries Limited,6,₹ 97.40,95,100,12,₹ 189.80,4320,7-Despatched,Ethiraj
4264,15-07-2018 08:00,31-05-2018 17:30,31-05-2018 17:30,"CAL, TEAM's Group company",20,₹ 18.30,100,100,20,₹ 18.30,680,8-Project Completed,Viswanathan
4265,14-10-2018 08:00,0,29-09-2018 20:30,The Kerala Minerals & Metals Ltd,1,₹ 5.30,100,100,1,₹ 5.30,925,8-Project Completed,Elamaran
4268,24-12-2018 08:30,20-12-2018 12:30,15-01-2019 09:30,Technip Mumbai,1,₹ 253.11,81,0,1,₹ 253.10,17360,B-Production in Progress,Ethiraj
4269,25-12-2018 08:30,03-11-2018 17:30,31-12-2018 14:30,SPX FLOW,2,₹ 69.00,96,0,2,₹ 69.00,1560,B-Production in Progress,Ethiraj
4270,03-07-2018 08:30,0,02-05-2018 17:30,"VXL Life sceinces, Mumbai",1,₹ 0.80,0,0,2,₹ 1.60,300,8-Project Completed,Viswanathan
4270,03-07-2018 08:30,0,11-06-2018 17:30,"VXL Life sceinces, Mumbai",1,₹ 0.90,0,0,2,₹ 1.60,300,8-Project Completed,Viswanathan
4271,10-07-2018 08:00,05-07-2018 17:30,28-09-2018 08:00,KMML,1,₹ 0.34,100,100,1,₹ 0.30,4,8-Project Completed,Elamaran
4273,27-09-2018 08:00,23-08-2018 09:30,25-09-2018 09:30,"KMML, Kochi",60,₹ 0.86,100,100,60,₹ 0.90,100,8-Project Completed,Varun
4274,30-03-2019 08:00,0,27-07-2018 17:30,NIOT,4,₹ 0.46,100,100,10,₹ 1.20,100,5-Production Completed,Varun
4274,30-03-2019 08:00,0,24-08-2018 17:30,NIOT,1,₹ 0.12,100,100,10,₹ 1.20,100,5-Production Completed,Varun
4276,30-06-2018 08:00,0,25-06-2018 12:00,Praxair,1,₹ 0.89,20,0,1,₹ 0.90,0,8-Project Completed,Viswanathan
4279,30-10-2018 08:00,0,29-10-2018 17:00,CCAL,1,₹ 0.65,100,100,1,₹ 0.70,100,8-Project Completed,Hariprasath
4280,12-12-2018 08:00,03-10-2018 09:30,29-09-2018 13:30,"NSTL, Vizag",6,₹ 30.00,100,100,6,₹ 30.00,1650,8-Project Completed,Elamaran
4282,30-10-2018 08:00,0,29-10-2018 17:00,CCAL,1,₹ 0.32,100,100,1,₹ 0.30,3,8-Project Completed,Hariprasath
4283,15-07-2018 08:00,31-05-2018 17:30,30-07-2018 14:30,"CAL, TEAM's Group company",22,₹ 23.68,100,100,153,₹ 163.90,680,8-Project Completed,Viswanathan
4283,15-07-2018 08:00,0,18-08-2018 14:30,"CAL, TEAM's Group company",28,₹ 30.14,100,0,153,₹ 163.90,680,8-Project Completed,Viswanathan
4283,15-07-2018 08:00,0,29-08-2018 14:30,"CAL, TEAM's Group company",28,₹ 30.14,100,0,153,₹ 163.90,680,8-Project Completed,Viswanathan
4283,15-07-2018 08:00,0,26-09-2018 14:30,"CAL, TEAM's Group company",28,₹ 30.14,100,0,153,₹ 163.90,680,8-Project Completed,Viswanathan
4283,15-07-2018 08:00,0,23-10-2018 14:30,"CAL, TEAM's Group company",47,₹ 49.77,100,0,153,₹ 163.90,680,8-Project Completed,Viswanathan
4284,25-03-2019 08:00,15-03-2019 13:30,27-02-2019 08:30,Larsen & Toubro,2,₹ 49.60,11,0,2,₹ 49.60,1640,4-Purchase Completed,Hariprasath
4285,30-10-2018 08:00,0,29-10-2018 17:00,Tata Chemicals Limited,1,₹ 0.30,100,100,1,₹ 0.30,0,8-Project Completed,Hariprasath
4286,15-02-2019 08:30,08-02-2019 17:00,08-02-2019 17:00,"TVG SRAAC, Kurnool",10,₹ 98.50,60,0,10,₹ 98.50,16300,B-Production in Progress,Hariprasath
4287,30-12-2018 08:00,0,26-10-2018 17:00,"VEM Technologies, Hyd",24,₹ 5.23,100,100,24,₹ 5.20,0,7-Despatched,Hariprasath
4288,21-11-2018 08:00,0,23-10-2018 17:00,Lords Chloro Alkalies,2,₹ 0.55,100,100,1,₹ 0.60,14,8-Project Completed,Hariprasath
4290,06-10-2018 08:00,0,17-09-2018 17:30,NIOT,10,₹ 0.10,100,100,10,₹ 0.10,100,8-Project Completed,Hariprasath
4294,18-10-2018 08:00,0,18-10-2018 17:00,Kavinaya (Praxair),1,₹ 0.89,0,0,1,₹ 0.90,0,8-Project Completed,Hariprasath
4295,18-01-2019 08:30,0,15-01-2019 17:30,KMML,2,₹ 10.68,82,0,2,₹ 10.70,860,B-Production in Progress,Hariprasath
4296,16-08-2019 08:30,08-01-2019 10:30,10-06-2019 15:30,Technimont,1,₹ 200.78,3,0,20,"₹ 1,390.00",5282,2-Design Completed,Elamaran
4297,16-04-2019 08:30,0,29-03-2019 17:30,CCM,4,₹ 16.66,45,0,4,₹ 16.70,700,2-Design Completed,Vinothkumar
4298,30-12-2018 08:00,0,28-11-2018 17:00,BDL,12,₹ 1.92,100,100,12,₹ 1.90,0,8-Project Completed,Hariprasath
4300,31-03-2019 08:30,28-03-2019 17:30,26-03-2019 17:30,"YUSUF BIN AHMED KANOO W.L.L.,",64,₹ 15.67,22,0,64,₹ 15.70,448,3-PPC Completed,Vinothkumar
4301,03-04-2019 08:30,0,18-03-2019 17:30,MCCPTA,1,₹ 2.53,14,0,1,₹ 2.50,8,3-PPC Completed,Hariprasath
4302,08-05-2019 08:00,0,04-05-2019 09:30,Sirpur Paper Mills,1,₹ 10.07,39,0,1,₹ 10.10,1430,2-Design Completed,Vinothkumar
4303,30-12-2018 08:00,0,15-11-2018 17:00,BDL,1,₹ 0.05,0,0,1,₹ 0.10,0,8-Project Completed,Hariprasath
4305,03-01-2019 08:30,23-01-2019 17:30,25-01-2019 12:30,Modern Engineering & Plastics,30,₹ 0.74,2,0,30,₹ 0.70,280,3-PPC Completed,Hariprasath
4309,23-03-2019 08:00,20-02-2019 09:00,20-02-2019 09:00,KMML,40,₹ 0.51,8,0,40,₹ 0.50,8,3-PPC Completed,Hariprasath
4173-02,07-04-2018 06:00,09-01-2018 06:04,31-03-2018 18:00,IOCL-EIL,2,₹ 111.72,100,100,2,₹ 111.70,9702,8-Project Completed,Ethiraj
4173-108,07-04-2018 06:00,31-03-2018 13:30,31-03-2018 13:30,IOCL-EIL,1,₹ 65.62,100,100,1,₹ 65.60,5579,8-Project Completed,Ethiraj
4173-126,07-04-2018 06:00,30-03-2018 08:40,30-03-2018 08:40,IOCL-EIL,2,₹ 43.75,100,100,2,₹ 43.80,4352,8-Project Completed,Ethiraj
4192-HC 150-1,07-01-2019 08:00,14-05-2018 13:12,05-09-2018 17:00,IGCAR,1,₹ 66.77,100,100,1,₹ 66.80,16880,8-Project Completed,Varun
4192-HC 150-2,07-01-2019 08:00,07-08-2018 21:30,27-12-2018 09:30,IGCAR,1,₹ 66.77,100,100,1,₹ 66.80,16880,8-Project Completed,Varun
4192-HC 150-3,07-01-2019 08:00,07-08-2018 21:30,30-04-2019 12:30,IGCAR,1,₹ 66.77,66,0,1,₹ 66.80,16880,9-On Hold,Varun
4192-HC 150-4,07-01-2019 08:00,07-08-2018 21:30,02-07-2019 12:30,IGCAR,1,₹ 66.77,0,0,1,₹ 66.80,16880,9-On Hold,Varun
